label_id,sub-category,category
428,Fitness Equipment,health
429,Hotels,travel
430,Singapore,region
431,Korean food,food
432,Lunch Dinner,food
433,Bread dessert,food
434,Thailand,region
435,Belgium,region
436,Shabu hot pot,food
437,buffet,food
438,groceries,shopping
439,Convenience Store,shopping
440,Pharmacy / medical devices / Health,health
441,Denmark,region
442,Greece,region
443,Furniture,household
444,Kitchenware,household
445,Collection shop,shopping
446,Baby Care,kids
447,Netherlands,region
448,Stereo headphones,shopping
449,Baby bed,kids
450,kids toys,kids
451,Digital stores,shopping
452,Education and Training,education
453,Swim,sport
454,wig,beauty
455,tableware,household
456,Latvia,region
457,Coffee water bar / teahouse,food
458,retail,shopping
459,Brazil,region
460,Malaysia,region
461,Baby Home Textiles,kids
462,SPA / Health Center,health
463,Finland,region
464,Laundry / Leather Care / change clothes,lifestyle
465,Sports,sport
466,cinema,entertainment
467,Musical Instruments,shopping
468,Beauty salons,beauty
469,Supermarkets,shopping
470,Financial Planning Services,finance
471,car services,vehicle
472,Auto 4S shop,vehicle
473,tea shop,food
474,Photographic prints,photography
475,Cycling Sport,sport
476,Wedding services,lifestyle
477,KTV service,entertainment
478,Appliance stores,household
479,Philippines,region
480,Tea cups,shopping
481,Board games and entertainment,game
482,Games,game
483,Gym,sport
484,Cleaning Products,household
485,Experience,other
486,Car decoration,vehicle
487,Real Estate Property,estate
488,Housing agency,lifestyle
489,Florist / Fruit Shop,shopping
490,Fishing Tackle,shopping
491,Electric Car,vehicle
492,Personal Care,health
493,Swimming pool,sport
494,Video City,entertainment
495,Aftermarket decoration,shopping
496,Billiard room,sport
497,Foot Bath,entertainment
511,Wedding photography,photography
512,Pet Services,lifestyle
513,Internet cafes,food
514,bank,finance
515,Parental photography,photography
516,pharmacy,health
517,Supermarket,shopping
518,teahouse,food
519,Car Rental,vehicle
520,bookstore,shopping
521,Health Products,health
522,flower shop,shopping
523,Driving School,education
524,Games deep tags,analysis
525,Game willingness to pay,analysis
526,Game amount paid,analysis
527,Game Frequency,analysis
528,Game Installation,analysis
529,Active Games,analysis
530,High (had paid behavior),analysis
531,Low (not over charge behavior),analysis
532,payment 1,payment
533,payment 2,payment
534,payment 3,payment
535,payment 4,payment
536,payment 5,payment
537,Ultra-high frequency (more than seven consecutive days game behavior),analysis
538,High Frequency (seven consecutive days there are games behavior),analysis
539,IF (there are three consecutive days game behavior),analysis
540,Low Frequency (only recently have the game play a day),analysis
541,High installation (over 7 games),analysis
542,The installation (3-7 games),analysis
543,Low installation (only 1-2 games),analysis
544,Active high (nearly 30 days played 7 games),analysis
545,Active in (nearly 30 days played 3-7 games),analysis
546,Low active (nearly 30 days played 1-2 games),analysis
547,car brand,vehicle
548,Industry tag,business
549,Property Industry 1.0,business
550,quality,business
551,Customization,business
552,Trendy / cool,business
553,Simple,business
554,Reputation,business
555,Relatives,family
556,Irritation / Fun,other
557,natural,other
558,service,lifestyle
559,free,other
560,Enthusiasm,other
561,noble,other
562,Science and Technology,other
563,vitality,other
564,pursue,other
565,Smart Shopping,shopping
566,Personal Effectiveness,utilities
567,classical,other
568,comfortable,other
569,Total Cost,payment
570,Teahouse,food
571,Toiletries,beauty
572,Leather Care,lifestyle
573,cinema,entertainment
574,Musical instruments,entertainment
575,Indian Express,food
576,Foot Massage,entertainment
577,Experience / DIY,entertainment
578,Medical,health
579,marry,other
580,beauty,beauty
581,Hairdressing,beauty
582,financial,finance
583,Slim,beauty
584,Paternity,kids
585,Nail,beauty
586,Beauty SPA,beauty
587,Early Learning,kids
588,medical instruments,health
589,Training institutions,education
590,Exam training,education
591,Device Properties,other
592,Brands,other
608,Equipment category,other
609,Phone,shopping
610,flat,estate
611,Smart TV,shopping
612,smart watch,shopping
613,Smart bracelet,shopping
614,Features,shopping
615,Music phone,shopping
616,Beauty phone,shopping
617,Old machine,shopping
618,Photography phone,shopping
619,High-end business phone,shopping
620,Cost-effective mobile,shopping
621,screen size,shopping
622,6.0 inches above,shopping
623,6.0-5.6 inches,shopping
624,5.5-5.1 inches,shopping
625,5.0-4.6 inches,shopping
626,4.5-3.1 inches,shopping
627,3 inches and below,shopping
628,operating system,other
629,iOS,other
630,WP,other
631,Android,other
632,Hardware Features,other
633,8-core chips,other
634,Gyro,other
635,NFC chip,other
636,Dual SIM,other
637,Operators,other
638,operatior 1,other
639,operator 2,other
640,operator 3,other
641,The internet,other
642,WIFI,other
643,4G,other
644,3G,other
645,2G,other
646,unknown,unknown
647,unknown,unknown
648,unknown,unknown
649,unknown,unknown
650,unknown,unknown
651,unknown,unknown
652,shopping center,shopping
653,language training,education
654,Car Accessories,vehicle
655,pawn shop,shopping
656,Bath,lifestyle
657,Express Inn,travel
658,CAR WASH,vehicle
659,General merchandise,shopping
660,Real Estate Agents,estate
661,securities company,lifestyle
662,post Office,lifestyle
663,SCHOOL,education
664,the University,education
665,dance,sport
666,Parenting,kids
667,Month Center,kids
668,Museum of Traditional Chinese Medicine,entertainment
669,Corporate,business
670,Telecom company,business
671,Travel,travel
672,Parent-child's play,kids
673,Personalized photo,photography
674,Optical Shop,shopping
675,Star Hotels,travel
676,Express,lifestyle
677,Logistics companies,business
678,Skills Training,education
679,Concert hall,entertainment
680,Food company,business
681,Insurance company,business
682,car repair,vehicle
683,fingerprint,other
684,City resident,other
685,family,other
686,model,other
687,Other operators,other
688,Ping,other
689,safety Insurance,finance
690,Peace - Search,other
691,mobile bank,finance
692,Insurance,finance
693,Resolution,other
694,Wearable Health,health
695,Smart Appliances,household
696,Intelligent hardware,other
698,unknown,unknown
699,unknown,unknown
700,unknown,unknown
701,unknown,unknown
702,unknown,unknown
703,unknown,unknown
704,Property Industry 2.0,business
705,Quality 1,business
706,Customized 1,business
707,Trendy / cool 1,business
708,Simple 1,business
709,1 reputation,business
710,Relatives 1,family
711,Irritation / Fun 1,other
712,Nature 1,other
713,Services 1,other
714,1 free,other
715,Passion 1,other
716,Noble 1,other
717,Science and Technology 1,other
718,1 vitality,other
719,Pursuit 1,other
720,Smart Shopping 1,shopping
721,Personal Effectiveness 1,utilities
722,Classical 1,other
723,Cozy 1,other
724,Total Cost 1,payment
730,And the Church,lifestyle
731,stock,finance
732,A shares,finance
733,B Shares,finance
734,H shares,finance
735,N shares,finance
736,Other shares,finance
737,fund,finance
738,Monetary Fund,finance
739,Mixed Fund,finance
740,Bond Fund,finance
741,Capital Preservation Fund,finance
742,QDII fund,finance
743,Commodity Funds,finance
744,Equity Fund,finance
745,Index Fund,finance
746,Closed-end funds,finance
747,Insurance,finance
748,Life Insurance,finance
749,Insurance,finance
750,Liability,finance
751,Bank financing,finance
752,fixed income,finance
753,Guaranteed income,finance
754,Non-guaranteed income,finance
755,Consumer loans,finance
756,Internet banking,finance
757,P2P,finance
758,Direct Banking,finance
759,Third party payment,finance
760,Crowdfunding,finance
761,Financial Services,finance
762,Trust,finance
763,Trust funds,finance
764,Chattel trust,finance
765,Real Estate Trust,finance
766,Property Trust,finance
767,Intellectual Property Trust,finance
770,Stock Futures,finance
771,Commodity Futures,finance
772,Financial Futures,finance
773,High Flow,finance
774,High mobility,finance
775,Liquid medium,finance
776,Lower liquidity,finance
777,Low liquidity,finance
778,High profitability,finance
779,Higher income,finance
780,Moderate profitability,finance
781,Low profitability,finance
782,Low income,finance
783,High risk,finance
784,Higher risk,finance
785,Medium risk,finance
786,Low risk,finance
787,Low Risk,finance
788,Financial Supermarket,finance
789,other,finance
790,Financial Information,finance
791,Lottery ticket,finance
792,exchange rate,finance
793,Antique collection,other
794,Tencent,game
795,game,game
796,Cards RPG,game
797,MMO,game
798,round,game
800,ARPG,game
801,MOBA,game
802,SLG (strategy),game
803,Racing (RAC),game
804,Flight Shooting,game
805,Shootout Shooting (STG),game
806,music,entertainment
807,Sports,sport
808,Tower Defense,game
809,Business simulation,game
810,Casual puzzle categories,game
811,Chess categories,game
812,Parkour avoid class,game
813,The elimination of class,game
814,Animation,entertainment
815,Animation aggregate class,entertainment
816,Class animation community,entertainment
817,Comics Reading Tools,entertainment
818,literature,book
819,Read the operator's,book
820,read,book
821,Pirated content,book
822,Listening to books category,book
823,Other Read,book
824,Hardware Related,family
825,the film,entertainment
826,Online booking class,payment
827,User Community,business
828,Vermicelli,food
829,Buy class,payment
830,Pay,payment
831,Not paid the fee,payment
832,paid1,payment
833,paid2,payment
834,paid3,payment
835,paid4,payment
836,paid5,payment
837,paid6,payment
838,paid7,payment
839,Doctors,health
840,Maternal and child population,health
841,Prepare baby,health
842,Families with babies,health
843,Pregnant baby,health
844,Parenting stage,health
845,Families with big baby,health
846,Families with small babies,health
847,Sea Amoy,other
848,He slightly - Family Life Cycle,family
849,Youth House,family
850,the little sun,family
851,Three Generations of children,family
852,Middle-aged home,family
853,Empty nesters,family
854,Property Industry new,business
855,noble,other
856,Total Cost,payment
857,free,other
858,natural,other
859,pursue,other
860,quality,business
861,Cool trendy,business
862,Relatives,family
863,Smart Shopping,shopping
864,Reputation,business
865,Science and Technology,other
866,Simple,other
867,Enthusiasm,other
868,vitality,other
869,classical,other
870,Personal Effectiveness,utilities
871,service,lifestyle
872,Customization,business
873,Stimulate fun,other
874,comfortable,other
875,Viewing preferences,other
876,physical education,education
877,health,health
878,Public class,other
879,military,other
880,Animation,entertainment
881,Original,other
882,Wonderful,other
883,Olympic,sport
884,entertainment,entertainment
885,Children,kids
886,advertising,business
887,microfilm,entertainment
888,Funny,other
889,education,education
890,tourism,travel
891,Fashion Arts,lifestyle
892,fashion,lifestyle
893,Mother,kids
894,car,vehicle
895,game,game
896,Trailer,lifestyle
897,life,lifestyle
898,the film,entertainment
899,TV series,entertainment
900,Science and Technology,other
901,Documentary,entertainment
902,Arts,lifestyle
903,Lenovo Cooperation,business
904,Talk show,entertainment
905,Finance and economics,finance
906,Information,other
907,music,entertainment
908,other,other
909,Air Travel,travel
910,aviation,travel
916,Airline type,travel
917,Full Service Airlines,travel
918,Low Cost Airlines,travel
919,Regional Aviation,travel
920,High-end business aviation,travel
921,General Aviation,travel
922,Aviation Integrated Services,travel
923,Aeronautical Information Service,travel
924,Airline Alliances,travel
925,airport,travel
926,Flight area,travel
927,Chinese mainland (Airlines),travel
928,Southeast Asia (aviation),travel
929,Japan and South Korea (Air),travel
930,"Europe, the United States and Macao (aviation)",travel
931,"Hong Kong, Macao and Taiwan (aviation)",travel
932,travel,travel
933,Purpose of travel,travel
934,Travel Travel,travel
935,Overseas travel,travel
936,Domestic travel,travel
937,Integrated tourism,travel
938,Tour around,travel
939,Travel Information,travel
940,Free exercise,travel
941,Travel preferences,travel
942,Share Tour,travel
943,Destination Region,travel
944,Southeast Asia (Travel),travel
945,Japan and South Korea (Travel),travel
946,"Europe, the United States and Macao (Travel)",travel
947,"Hong Kong, Macao and Taiwan (Travel)",travel
948,Booking channels,travel
949,Integrated ticket reservation,travel
950,Book hotel complex,travel
951,High-speed rail train reservation,travel
952,Coach reservations,travel
953,Integrated Air Travel Booking,travel
954,Hotels,travel
955,Hotel Type,travel
956,High-end hotel,travel
957,Hotel Chain,travel
958,Non-standard accommodation,travel
959,financial,finance
960,P2P,finance
965,unknown,unknown
966,BM,other
967,NS,other
968,Card Game,game
969,casual games,game
970,Puzzles,game
971,cosplay,game
972,Sports Games,game
973,Table Games,game
974,action games,game
975,strategy game,game
976,Simulators,game
977,Adventure Game,game
978,Chess game,game
979,Dice Game,game
980,Educational games,game
981,Family Games,game
982,Music Games,game
983,Racing games,game
984,Games,game
985,Word games,game
986,Xian Xia,other
987,effort,utilities
988,navigation,utilities
989,Tomb,other
990,reality show,entertainment
991,Jin Yong,other
992,trickery,other
993,Senki,region
994,Journey,book
995,tribe,other
996,Ninja,other
997,Romance,entertainment
998,Shushan,other
999,Martial arts,lifestyle
1000,Domestic animation,entertainment
1001,Europe and Fantasy,entertainment
1002,Harem,other
1003,fashion,lifestyle
1004,Finance,finance
1005,Traditional securities brokerage,finance
1006,Lottery ticket,finance
1007,P2P net loan,finance
1008,Pay,finance
1009,Crowdfunding,finance
1010,Accounting,finance
1011,Third-party card management,finance
1012,Internet Banking,finance
1013,Financial Information,finance
1014,Consumer Finance,finance
1015,mobile bank,finance
1016,Traditional Insurance,finance
1017,Heritage Foundation,finance
1018,Direct Banking,finance
1019,Internet Securities,finance
1020,Bank Credit Card,finance
1021,Internet Insurance,finance
