"","device_id","n_distinct(app_id)"
"107",-9137920294879632384,22
"108",-9137123892151396352,82
"109",-9135912902491353088,47
"110",-9135878445495544832,54
"111",-9135437265387254784,60
"112",-9135068837991620608,45
"113",-9134556132023507968,20
"114",-9133255755135005696,34
"115",-9132600467596063744,65
"116",-9132016908397290496,40
"117",-9128599196840350720,50
"118",-9127983430276122624,48
"119",-9127284204001294336,12
"120",-9127213973650577408,32
"121",-9126875497787024384,52
"122",-9125275793462800384,36
"123",-9124308220957381632,53
"124",-9124141452628559872,44
"125",-9122745692722608128,126
"126",-9118887241036607488,42
"127",-9118749350345620480,44
"128",-9118451414671594496,68
"129",-9114599703492078592,45
"130",-9111513492628746240,14
"131",-9111269278388868096,10
"132",-9111100911241119744,34
"133",-9111055107595315200,29
"134",-9110575428190503936,32
"135",-9108166834413908992,37
"136",-9108124698819202048,14
"137",-9.107022519238e+18,28
"138",-9106449676804591616,25
"139",-9105987440015885312,49
"140",-9104696846276818944,25
"141",-9.104016315233e+18,65
"142",-9103344426105443328,43
"143",-9101962973644735488,30
"144",-9101460140912890880,65
"145",-9101136702913293312,55
"146",-9099960067561012224,25
"147",-9099266952536585216,65
"148",-9099079396602536960,69
"149",-9099020198116945920,51
"150",-9097747613312564224,43
"151",-9097034653448679424,55
"152",-9096643543443800064,23
"153",-9095328961082954752,28
"154",-9093521948338891776,19
"155",-9091167162131305472,47
"156",-9090134575924711424,15
"157",-9.089483344433e+18,16
"158",-9089086441056502784,21
"159",-9087906272753688576,60
"160",-9086124425935463424,119
"161",-9.086090884398e+18,55
"162",-9085883839502743552,42
"163",-9084459603330511872,80
"164",-9083209731502131200,28
"165",-9082603524390907904,114
"166",-9080896288558473216,26
"167",-9079829975393275904,88
"168",-9078072777038987264,53
"169",-9077932265778048000,39
"170",-9077887198036285440,35
"171",-9073865363144386560,81
"172",-9073778680072759296,27
"173",-9073691973352276992,66
"174",-9073474758218251264,28
"175",-9073407886058867712,46
"176",-9073043421905782784,54
"177",-9072332457196169216,34
"178",-9072092662969210880,26
"179",-9072007142524643328,11
"180",-9066739718735441920,19
"181",-9065883836262337536,34
"182",-9065499242152393728,49
"183",-9064462124688983040,40
"184",-9063086701555824640,28
"185",-9063050641137392640,45
"186",-9061302922157907968,84
"187",-9061013596669128704,37
"188",-9059861675441563648,16
"189",-9058976870986021888,48
"190",-9056466099270833152,71
"191",-9056072777069455360,28
"192",-9055952824006881280,36
"193",-9054700749395691520,34
"194",-9054499711048150016,18
"195",-9054457302185579520,81
"196",-9053654631606385664,22
"197",-9053104100300014592,90
"198",-9052057124812329984,45
"199",-9051999794177346560,40
"200",-9051903700674903040,39
"201",-9051692488935952384,16
"202",-9051072804789579776,47
"203",-9049955329329146880,24
"204",-9049374409730289664,26
"205",-9049040549428969472,35
"206",-9048569852472274944,67
"207",-9047706359521386496,21
"208",-9047564326204993536,42
"209",-9045992881782847488,36
"210",-9045729280689362944,30
"211",-9043757469549686784,18
"212",-9043263980530679808,11
"213",-9042980350102172672,25
"214",-9041133212238696448,35
"215",-9040328040803744768,35
"216",-9039977746848315392,29
"217",-9039298961907090432,49
"218",-9038623594440272896,16
"219",-9038490033483015168,48
"220",-9038481647917111296,1
"221",-9036581639226036224,41
"222",-9036185261165497344,23
"223",-9036136297903910912,50
"224",-9034576147172246528,20
"225",-9032885578656412672,34
"226",-9029896681346557952,13
"227",-9029031879981970432,32
"228",-9028482081949648896,60
"229",-9027901567414334464,49
"230",-9026837627240788992,25
"231",-9026466602628141056,30
"232",-9026317892770450432,4
"233",-9025893097067971584,32
"234",-9024966007172774912,40
"235",-9024928440594155520,46
"236",-9024646837768279040,46
"237",-9024267758504679424,28
"238",-9023600591876028416,6
"239",-9023589610046533632,50
"240",-9023443077946378240,68
"241",-9023340969881671680,15
"242",-9022690039865054208,12
"243",-9021919762378037248,80
"244",-9020040565436273664,17
"245",-9017469512433051648,59
"246",-9016520568121084928,54
"247",-9016203189439525888,28
"248",-9014350292550219776,7
"249",-9013523361805426688,40
"250",-9013012979339190272,57
"251",-9011635270221566976,40
"252",-9011593304288875520,29
"253",-9011368843860200448,17
"254",-9011363199163751424,53
"255",-9010787460625657856,14
"256",-9010083762703457280,62
"257",-9008855154376909824,72
"258",-9007906916293768192,43
"259",-9007130520032304128,36
"260",-9006521758210672640,18
"261",-9006255707176254464,89
"262",-9006215191839323136,64
"263",-9005559252759452672,33
"264",-9005081848992685056,72
"265",-9004496616297938944,18
"266",-9004417528223787008,68
"267",-9004407184336726016,15
"268",-9003947128036237312,82
"269",-9003202516657721344,77
"270",-9003024964574030848,35
"271",-9002991554887640064,114
"272",-8999530063627132928,25
"273",-8997838108653864960,7
"274",-8997809006079792128,44
"275",-8997293247654606848,39
"276",-8996875367734090752,8
"277",-8996196127208529920,73
"278",-8995166723112587264,24
"279",-8994795302459147264,28
"280",-8994276590515059712,26
"281",-8993231040382166016,58
"282",-8992628397316286464,20
"283",-8991982347629763584,15
"284",-8991712122844596224,77
"285",-8991073781547653120,87
"286",-8988906263287804928,37
"287",-8988236739917993984,12
"288",-8986890143942536192,19
"289",-8986855340863129600,24
"290",-8985538397181268992,17
"291",-8984541355413776384,42
"292",-8984539662624543744,25
"293",-8984381866270313472,26
"294",-8983709377077180416,42
"295",-8983542666136091648,52
"296",-8982716826328646656,76
"297",-8982404699956097024,58
"298",-8.982366420716e+18,38
"299",-8982352756929975296,20
"300",-8982274753206873088,64
"301",-8981768707637313536,30
"302",-8978774210045192192,16
"303",-8976131864492781568,43
"304",-8975029764598518784,39
"305",-8974986767297961984,29
"306",-8973384433241532416,50
"307",-8972513087629079552,52
"308",-8972140861990904832,41
"309",-8972103783009163264,24
"310",-8971346337343942656,64
"311",-8971014817831329792,53
"312",-8969601405186217984,10
"313",-8968592398578707456,45
"314",-8968005226230317056,31
"315",-8967864960526927872,82
"316",-8966633622972684288,18
"317",-8965335561582270464,30
"318",-8964091083507963904,39
"319",-8962888514015132672,23
"320",-8962482402364707840,48
"321",-8961184005750347776,29
"322",-8960953759955156992,27
"323",-8960445537264306176,21
"324",-8959679739567184896,30
"325",-8959367846286896128,51
"326",-8958861370644388864,29
"327",-8958391061069604864,43
"328",-8958035891076350976,47
"329",-8958026329456076800,21
"330",-8956808773099177984,29
"331",-8956355855116876800,37
"332",-8954961065804961792,40
"333",-8954174985131036672,47
"334",-8953659000620341248,19
"335",-8953089540481315840,79
"336",-8952541363097602048,23
"337",-8951776441090610176,29
"338",-8949980901089614848,19
"339",-8948839399627029504,72
"340",-8948604730896689152,76
"341",-8947020273194170368,21
"342",-8946170371863017472,28
"343",-8945872678543264768,47
"344",-8943715402449667072,20
"345",-8942676885877022720,7
"346",-8942595051113006080,16
"347",-8940648450130833408,38
"348",-8940482789995941888,13
"349",-8939747905316945920,64
"350",-8939517005441336320,24
"351",-8939462103755067392,29
"352",-8939094338585711616,36
"353",-8936453850778720256,61
"354",-8935601063523160064,27
"355",-8934401125724793856,46
"356",-8934222697670300672,21
"357",-8933522486089289728,30
"358",-8930871234103923712,38
"359",-8930642401447975936,12
"360",-8930344956501495808,34
"361",-8929872211580645376,14
"362",-8928891762474134528,37
"363",-8927683493366646784,19
"364",-8926408346984341504,75
"365",-8926211772892695552,173
"366",-8925024197212973056,29
"367",-8924864729765929984,95
"368",-8924245943904643072,107
"369",-8923487724537535488,22
"370",-8923263615670715392,16
"371",-8922912282939175936,22
"372",-8921487966474574848,62
"373",-8920035158619912192,10
"374",-8919181071157710848,31
"375",-8919001446788225024,29
"376",-8918740874968725504,45
"377",-8917713171207581696,46
"378",-8917235986002207744,59
"379",-8917201840883757056,12
"380",-8917082994343887872,37
"381",-8916894184536072192,29
"382",-8916551590619494400,42
"383",-8915940879974991872,55
"384",-8915702555611287552,17
"385",-8915597671802094592,59
"386",-8914294911501102080,28
"387",-8913461047765858304,49
"388",-8909761222034417664,29
"389",-8909211451829719040,45
"390",-8908320909371449344,45
"391",-8908062965033932800,33
"392",-8907202230497207296,29
"393",-8907040881085874176,24
"394",-8906889682563705856,52
"395",-8906726022063575040,59
"396",-8905578618032232448,18
"397",-8903567360335207424,16
"398",-8901665875331568640,27
"399",-8901164389292772352,53
"400",-8900783196429911040,71
"401",-8900063314692503552,45
"402",-8899015744609307648,73
"403",-8898506084854342656,76
"404",-8898050314299440128,20
"405",-8897177753557458944,40
"406",-8897002098221859840,99
"407",-8896704548422631424,110
"408",-8896502089768323072,13
"409",-8894310308148730880,45
"410",-8892004110917384192,67
"411",-8891316860822587392,58
"412",-8890599647404223488,25
"413",-8890517966547538944,30
"414",-8889890592643205120,9
"415",-8889764892559893504,44
"416",-8888725245706046464,40
"417",-8887807036126219264,23
"418",-8887147774481730560,43
"419",-8886768683305255936,98
"420",-8886231372355152896,29
"421",-8886013638486813696,57
"422",-8885260196395045888,31
"423",-8884839904423157760,61
"424",-8883568201986071552,37
"425",-8881648886121925632,63
"426",-8881478309599706112,13
"427",-8881453376785504256,52
"428",-8881322218554824704,24
"429",-8880088162105423872,23
"430",-8879972075568967680,88
"431",-8879931371069006848,44
"432",-8879446978327609344,44
"433",-8878683891449905152,36
"434",-8878606963849224192,7
"435",-8878193840826920960,21
"436",-8876558564016415744,33
"437",-8875215276974767104,40
"438",-8875162919694976000,72
"439",-8874573537645963264,20
"440",-8874539119500365824,66
"441",-8873579165548771328,4
"442",-8871571175833048064,38
"443",-8871528848542902272,32
"444",-8870834296005474304,6
"445",-8870725228944590848,37
"446",-8870588187036856320,70
"447",-8870368540648448000,60
"448",-8870167332962143232,6
"449",-8869437072449515520,50
"450",-8869096530337041408,24
"451",-8868728104982197248,37
"452",-8865310564646823936,53
"453",-8865230619992851456,24
"454",-8864869883686098944,27
"455",-8864355021312886784,35
"456",-8864019691449730048,27
"457",-8863956351686734848,56
"458",-8863732923794309120,28
"459",-8863559279918991360,109
"460",-8863197426277987328,15
"461",-8862601248883768320,54
"462",-8862554620848825344,32
"463",-8861397240237282304,37
"464",-8861122574807154688,22
"465",-8860552272166690816,48
"466",-8859789841949643776,31
"467",-8859527139217286144,116
"468",-8858871830144947200,31
"469",-8858526515486318592,22
"470",-8857778784063735808,41
"471",-8857161661499728896,33
"472",-8857070265364590592,40
"473",-8855013348899884032,55
"474",-8853068148951583744,39
"475",-8852755164486122496,24
"476",-8852515990682117120,62
"477",-8852191018022803456,21
"478",-8851808198278168576,20
"479",-8850950587941729280,33
"480",-8850896974406319104,42
"481",-8850845475394434048,76
"482",-8850758260853693440,45
"483",-8847352756160758784,21
"484",-8846842242397210624,47
"485",-8846428103592787968,29
"486",-8845865784500923392,6
"487",-8844706235530060800,25
"488",-8844181243406030848,68
"489",-8842054981224370176,11
"490",-8841778954828649472,32
"491",-8838418809649855488,17
"492",-8837690335209603072,17
"493",-8.83764749795e+18,53
"494",-8.837433484603e+18,43
"495",-8837110330960569344,12
"496",-8836874510946116608,59
"497",-8834947007957720064,47
"498",-8834497392288155648,24
"499",-8834133160074124288,17
"500",-8832309627745575936,25
"501",-8832229491608693760,41
"502",-8831093416752024576,36
"503",-8830591573887042560,27
"504",-8830185036331163648,61
"505",-8830092227418251264,22
"506",-8827592426242125824,37
"507",-8825886058124894208,22
"508",-8825851023640251392,38
"509",-8825326766212060160,27
"510",-8825021168407809024,50
"511",-8824479140584278016,24
"512",-8823489781886507008,38
"513",-8823311085735214080,36
"514",-8821953136039061504,21
"515",-8821745636409605120,44
"516",-8821315644463022080,70
"517",-8820748864131020800,50
"518",-8819663526916879360,68
"519",-8819639644429169664,55
"520",-8818491488020910080,30
"521",-8818349806372248576,35
"522",-8817512189424174080,19
"523",-8817076178796928000,15
"524",-8816848223970399232,12
"525",-8815933542111495168,24
"526",-8815567856196588544,23
"527",-8813801566289480704,73
"528",-8813322120453324800,62
"529",-8812658047885724672,34
"530",-8811598757611614208,58
"531",-8810944588588276736,17
"532",-8810677098572112896,59
"533",-8810315790894903296,43
"534",-8809985003986182144,16
"535",-8809407806862109696,32
"536",-8809342555718506496,10
"537",-8809295825051472896,15
"538",-8808776377817703424,82
"539",-8808132407616349184,38
"540",-8807535457253528576,41
"541",-8807052735630781440,82
"542",-8806285456507148288,52
"543",-8805654710820155392,30
"544",-8805578462632128512,25
"545",-8805468404948884480,21
"546",-8804138957870305280,56
"547",-8803587985154108416,27
"548",-8802316604005480448,34
"549",-8802212159954146304,33
"550",-8801664977243727872,42
"551",-8800095656132745216,68
"552",-8799974241787843584,34
"553",-8798991280303388672,34
"554",-8798894394747023360,89
"555",-8798890819368536064,57
"556",-8798345393567261696,22
"557",-8795087527245424640,56
"558",-8793764609497122816,27
"559",-8793551595241909248,46
"560",-8793095361596291072,53
"561",-8792555296284231680,48
"562",-8792380335341380608,14
"563",-8791318312956404736,22
"564",-8791146267734188032,31
"565",-8.790436258783e+18,17
"566",-8789739104776090624,28
"567",-8789447814928150528,24
"568",-8788603681287179264,24
"569",-8787759144742154240,21
"570",-8.786932725714e+18,32
"571",-8786229624007510016,23
"572",-8785808288609377280,36
"573",-8785250580011204608,59
"574",-8784472699590155264,54
"575",-8783900032072480768,45
"576",-8783851385933673472,28
"577",-8783624720347293696,23
"578",-8782714927354835968,46
"579",-8781032290642852864,74
"580",-8779622610843070464,39
"581",-8779428157098461184,38
"582",-8779082963431723008,20
"583",-8778757166873552896,24
"584",-8778526176668890112,56
"585",-8778262627556793344,26
"586",-8777268816216242176,30
"587",-8776372403973197824,15
"588",-8775869361605414912,65
"589",-8775489672599541760,53
"590",-8774475287363618816,24
"591",-8773771540617895936,55
"592",-8773591723204677632,35
"593",-8773381416821430272,18
"594",-8773114999444757504,44
"595",-8771755865278605312,35
"596",-8769062425317786624,61
"597",-8768763414768094208,21
"598",-8765522053780047872,39
"599",-8765329793245217792,21
"600",-8.763697934413e+18,35
"601",-8763528783150222336,32
"602",-8763499896085765120,19
"603",-8763359522680232960,25
"604",-8762940477551939584,40
"605",-8760410795689239552,33
"606",-8759806376311215104,91
"607",-8757107818104059904,27
"608",-8756856298889457664,27
"609",-8755975600318132224,23
"610",-8755360321217593344,123
"611",-8755157563619251200,45
"612",-8754923257059791872,35
"613",-8754843952055811072,14
"614",-8754239427419480064,26
"615",-8752790417607294976,7
"616",-8752079585505607680,42
"617",-8750365830993494016,17
"618",-8748399916550723584,27
"619",-8748137292049786880,40
"620",-8747575575843881984,63
"621",-8745142145795159040,78
"622",-8744969677550344192,51
"623",-8744527543418585088,2
"624",-8744445395984602112,16
"625",-8744095133307343872,44
"626",-8743615992992829440,25
"627",-8742715434822943744,44
"628",-8741798426907867136,18
"629",-8741652041341460480,40
"630",-8740739276825048064,48
"631",-8740159811251461120,21
"632",-8739833855321283584,22
"633",-8739296758054568960,61
"634",-8737566806252298240,11
"635",-8737356966559391744,58
"636",-8736225111063189504,26
"637",-8735722598257744896,63
"638",-8735720924623796224,4
"639",-8735470501662413824,31
"640",-8735262674962638848,20
"641",-8734007879304621056,32
"642",-8730865728458138624,78
"643",-8730307490994657280,50
"644",-8729808929347730432,30
"645",-8728246783814891520,31
"646",-8727886131585592320,7
"647",-8727487477691636736,28
"648",-8726733746650242048,37
"649",-8725135028561361920,59
"650",-8718740598043540480,36
"651",-8718447129064429568,83
"652",-8718128198993548288,36
"653",-8716664443826532352,28
"654",-8712445077380078592,31
"655",-8712082170268097536,19
"656",-8710948909468523520,15
"657",-8709787090971295744,71
"658",-8709367149377744896,76
"659",-8708570969129915392,65
"660",-8707110359416344576,11
"661",-8706288933198289920,41
"662",-8705968198316309504,21
"663",-8705128918819769344,37
"664",-8704177118633236480,45
"665",-8703399398600890368,23
"666",-8701351449197527040,46
"667",-8700919126757489664,26
"668",-8700408462780876800,44
"669",-8700386357584360448,29
"670",-8696199783817427968,14
"671",-8695560153948577792,35
"672",-8695254204079089664,24
"673",-8694161393433713664,33
"674",-8694070057162701824,21
"675",-8693631930247964672,28
"676",-8691841193582853120,33
"677",-8690751061394472960,46
"678",-8688947555036691456,77
"679",-8688870843246654464,56
"680",-8687517552913597440,22
"681",-8687184140727148544,20
"682",-8686980665310409728,46
"683",-8686818469443654656,27
"684",-8686507412565143552,32
"685",-8686195388064222208,20
"686",-8685661683173390336,45
"687",-8685506478721222656,42
"688",-8684557922443095040,104
"689",-8684382360440006656,18
"690",-8684188853484047360,19
"691",-8683600556219660288,31
"692",-8682839388877719552,61
"693",-8681977036672430080,28
"694",-8681748250668343296,34
"695",-8680478570900062208,45
"696",-8680475959139734528,40
"697",-8680079040125345792,52
"698",-8679231312859487232,32
"699",-8677393408439191552,6
"700",-8677364570947678208,71
"701",-8676244203426339840,187
"702",-8675200757687437312,36
"703",-8674123234026086400,15
"704",-8674122984613207040,85
"705",-8673748899925167104,56
"706",-8673488737262461952,14
"707",-8673430634736222208,35
"708",-8673186272347802624,138
"709",-8672858022601068544,66
"710",-8672286781298007040,75
"711",-8671498412077944832,42
"712",-8671105202682866688,24
"713",-8670897254402372608,67
"714",-8669553091125517312,17
"715",-8668435756528083968,29
"716",-8667995220611348480,40
"717",-8665842985387874304,24
"718",-8664852491951361024,32
"719",-8664747945483213824,28
"720",-8662000544566942720,70
"721",-8660905300048854016,35
"722",-8660734983386592256,50
"723",-8659525025467296768,25
"724",-8658253277334372352,27
"725",-8657137191584681984,20
"726",-8655756063868276736,14
"727",-8655175116001955840,59
"728",-8654495758535574528,34
"729",-8654437491139564544,44
"730",-8653856161628789760,36
"731",-8653748512040281088,112
"732",-8653567408940349440,46
"733",-8649941211508968448,18
"734",-8649717798505143296,32
"735",-8648645898588085248,22
"736",-8648548302223737856,41
"737",-8648296780626966528,65
"738",-8648161022526761984,43
"739",-8648070044317879296,133
"740",-8648004512021343232,15
"741",-8647679566219018240,30
"742",-8647238531873114112,16
"743",-8646854286753099776,56
"744",-8646229784190295040,17
"745",-8645957134447143936,21
"746",-8643069289560656896,57
"747",-8641586253794778112,74
"748",-8641523660224470016,27
"749",-8641335940954313728,33
"750",-8640546418716486656,11
"751",-8640137724042537984,38
"752",-8640078209044694016,43
"753",-8639858887452900352,44
"754",-8639380657548338176,12
"755",-8637732931218583552,65
"756",-8635592876701356032,41
"757",-8632896479196947456,19
"758",-8632831146764307456,25
"759",-8632498737793139712,86
"760",-8630301921846095872,23
"761",-8629173342389681152,35
"762",-8628122401019318272,61
"763",-8627529094569161728,32
"764",-8627371758905808896,49
"765",-8626255238350395392,73
"766",-8625942454701242368,36
"767",-8625392267392657408,47
"768",-8623853802485850112,45
"769",-8623808972586310656,53
"770",-8623214666825278464,24
"771",-8622930726251099136,29
"772",-8619523501481005056,21
"773",-8618166219196104704,36
"774",-8618153438921827328,46
"775",-8617846518879813632,61
"776",-8616708320294665216,63
"777",-8616562828474379264,166
"778",-8616146934145098752,16
"779",-8616125306271115264,26
"780",-8611988641245958144,14
"781",-8611832576264673280,37
"782",-8610774192663157760,20
"783",-8610435930243128320,19
"784",-8610234780667669504,46
"785",-8610005888307299328,56
"786",-8609987852497337344,65
"787",-8609733064109150208,19
"788",-8609450529735575552,15
"789",-8609315622020787200,23
"790",-8608886046487824384,37
"791",-8607233950266591232,84
"792",-8607164146358691840,31
"793",-8607084646097624064,43
"794",-8606963353220289536,36
"795",-8605935504577608704,48
"796",-8605831892007161856,21
"797",-8605234574252177408,17
"798",-8605080354289190912,19
"799",-8604914379808587776,46
"800",-8604662774549943296,43
"801",-8604324115386192896,13
"802",-8604051256398592000,48
"803",-8602521116049272832,22
"804",-8601448972184443904,43
"805",-8.601403561409e+18,45
"806",-8601351087740611584,54
"807",-8601232091637467136,31
"808",-8599788021809676288,49
"809",-8599733890918814720,60
"810",-8599383878807045120,106
"811",-8599058275503887360,85
"812",-8598921802016822272,11
"813",-8598812440266759168,78
"814",-8598598816143490048,19
"815",-8595350621942526976,63
"816",-8594672347328405504,13
"817",-8594042313511750656,41
"818",-8592972172976632832,12
"819",-8590956797945256960,32
"820",-8590105612498154496,57
"821",-8588321404722683904,26
"822",-8587610512543135744,29
"823",-8586509112414570496,53
"824",-8585819139228391424,27
"825",-8585799136464655360,25
"826",-8584986353759211520,14
"827",-8584975363996210176,63
"828",-8584449199257750528,18
"829",-8583782175092758528,40
"830",-8583072247766802432,125
"831",-8582432826296376320,34
"832",-8580499855440491520,29
"833",-8579847915776404480,11
"834",-8579738459946123264,58
"835",-8579365787148893184,59
"836",-8579276548744670208,33
"837",-8578352318070038528,54
"838",-8578314071758892032,13
"839",-8577876217493425152,70
"840",-8577080855497815040,17
"841",-8576679128232173568,54
"842",-8576486224554930176,9
"843",-8576019150536309760,58
"844",-8575318359002876928,13
"845",-8574523544014538752,36
"846",-8574350508377071616,28
"847",-8573527463703397376,26
"848",-8571367496258244608,39
"849",-8567982055258471424,67
"850",-8567851468359267328,60
"851",-8567726597533065216,24
"852",-8567096829519723520,41
"853",-8563935019200254976,32
"854",-8563680988239148032,6
"855",-8563629802913555456,10
"856",-8562311995574262784,21
"857",-8561933307104367616,24
"858",-8559798643764032512,81
"859",-8557418256364464128,42
"860",-8555941264709232640,22
"861",-8555586000677330944,15
"862",-8555514916080103424,78
"863",-8555397878468451328,37
"864",-8554257273027499008,26
"865",-8552278802939132928,147
"866",-8551841736749652992,52
"867",-8.550177067494e+18,28
"868",-8550116984671656960,11
"869",-8549486473279604736,37
"870",-8549024429592561664,32
"871",-8548626011730512896,55
"872",-8547653731154547712,34
"873",-8545441401075728384,27
"874",-8545326899867544576,30
"875",-8545184470818576384,20
"876",-8544905747922374656,20
"877",-8544534804052944896,43
"878",-8544326501277030400,106
"879",-8542506268600051712,70
"880",-8542453227605285888,38
"881",-8541019923889217536,35
"882",-8538333663613303808,27
"883",-8537986049457432576,37
"884",-8537542511873211392,34
"885",-8537406599487702016,59
"886",-8537086276143756288,16
"887",-8537071843704763392,38
"888",-8536979210429233152,16
"889",-8535807774701344768,48
"890",-8534298559785888768,56
"891",-8533363985617253376,19
"892",-8532926019621137408,23
"893",-8.532200769734e+18,37
"894",-8532197610442376192,36
"895",-8531620480812311552,22
"896",-8530352183215409152,40
"897",-8529843450063722496,69
"898",-8529359543457543168,28
"899",-8529263745649599488,23
"900",-8529139059948956672,17
"901",-8528394326441418752,50
"902",-8527945422659400704,17
"903",-8527382639776221184,114
"904",-8526386245397859328,49
"905",-8525214834679522304,103
"906",-8524960740422846464,45
"907",-8524520775043227648,37
"908",-8524462001039508480,51
"909",-8521173895889183744,29
"910",-8518502896915597312,49
"911",-8517919127481366528,26
"912",-8517854158496965632,46
"913",-8517686360388061184,16
"914",-8517301287380015104,45
"915",-8516834539814140928,39
"916",-8516723307766352896,26
"917",-8514893938404519936,20
"918",-8514788858460144640,44
"919",-8513395499041080320,37
"920",-8511370471119417344,37
"921",-8511280199040615424,37
"922",-8509951936637564928,16
"923",-8509137396461762560,38
"924",-8508897800040392704,19
"925",-8508063083301452800,46
"926",-8507419484224290816,54
"927",-8506358959403600896,36
"928",-8505916573004807168,27
"929",-8505422163126095872,46
"930",-8504879428986711040,46
"931",-8504705025013496832,47
"932",-8500915890999481344,17
"933",-8500750876542023680,41
"934",-8500574938083854336,27
"935",-8499903549442180096,39
"936",-8499290930200625152,16
"937",-8497991295549635584,42
"938",-8496313154221356032,37
"939",-8494349511781251072,44
"940",-8491904554421227520,27
"941",-8491785752637389824,45
"942",-8491235757491796992,29
"943",-8488067985183720448,65
"944",-8487328774089016320,41
"945",-8485486012986553344,41
"946",-8485411087001622528,7
"947",-8485334017476311040,36
"948",-8485003585845041152,26
"949",-8482705264287218688,37
"950",-8482331957185212416,23
"951",-8481072460755388416,44
"952",-8480830654134928384,32
"953",-8480718447707947008,62
"954",-8480612723734037504,63
"955",-8480491764952481792,22
"956",-8479657745295088640,67
"957",-8478765827760456704,29
"958",-8478417775657613312,42
"959",-8477784822589279232,87
"960",-8477737311995933696,27
"961",-8476128408968291328,37
"962",-8475861076685378560,17
"963",-8475614001582281728,45
"964",-8474112585672099840,10
"965",-8473479441305496576,30
"966",-8471841105903396864,46
"967",-8471463821663086592,79
"968",-8471325013826026496,53
"969",-8471076543896156160,29
"970",-8471054182431558656,28
"971",-8470598042595755008,29
"972",-8469609588260229120,19
"973",-8468781546500343808,32
"974",-8468252334307275776,20
"975",-8467903150068667392,52
"976",-8467820458668512256,32
"977",-8464896532250596352,38
"978",-8462977293562795008,14
"979",-8461984668113409024,22
"980",-8458894491194603520,95
"981",-8455790152922016768,60
"982",-8455639999412361216,41
"983",-8454932398034509824,38
"984",-8454771594966218752,110
"985",-8454351202534985728,6
"986",-8453742119537288192,18
"987",-8453134016534814720,41
"988",-8452478719587234816,21
"989",-8451478611974952960,33
"990",-8451161220296458240,31
"991",-8450363755684923392,35
"992",-8449798452687147008,24
"993",-8448840466355913728,89
"994",-8448251834222626816,63
"995",-8448086333833766912,60
